Source_Statement_Type,Source_Statement,Target_Statement_Type,Target_Statement
Oracle_Statement,"CREATE OR REPLACE PROCEDURE ""BILLING"".""AP_TESTIPSERVICES"" (IV_IPNo in varchar2,
 OC_Services OUT SYS_REFCURSOR)
is",Postgres_Statement,"create or replace procedure ap_testipservices( iv_ipno text, oc_services inout refcursor )
as $body$"
Oracle_Statement,"/*******************************************************************************************
/*******************************************************************************************
/* File Description: This Procedure is to update transaction status in transaction table
/* after acknowledge and returns updated balance from naturalaccount master and
/* cashaccount master
/* Description:
/* Parameters: IV_IPNo INPUT
/* OC_Services OUTPUT
/* Returns:
/* Date Created: Jun 20, 2007
/* Author: Tata Consultancy Services LTD && Apollo Health City
/* Change History:
/* Date Modified:
/* Changed By:
/* Change Description:
/*******************************************************************************************
/********************************************************************************************/
begin
 open OC_Services for
 Select *
 from servicerequestdetails srd
 where requestid in
 (select requestid
 from servicerequest s
 where s.patientidentifierno = IV_IPNo);",Postgres_Statement,begin set search_path to billing ;open oc_services for select * from servicerequestdetails srd where requestid in( select requestid from servicerequest s where s.patientidentifierno = iv_ipno ) ;
Oracle_Statement,end AP_TestIPServices;,Postgres_Statement,end ;$body$ language plpgsql ;
Oracle_Statement,"CREATE OR REPLACE PROCEDURE ""BILLING"".""BILL_APOLLO_TO_CGHS"" ( --IN_PERCENTAGE IN NUMBER := NULL,
 IN_BILLNO IN PATIENTBILL.BILLNO%TYPE,
 IN_SERVICETYPEID IN NUMBER) IS",Postgres_Statement,"create or replace procedure bill_apollo_to_cghs( in_billno patientbill.billno%type, in_servicetypeid numeric )
as $body$"
Oracle_Statement,"BEGIN
 UPDATE PATIENTBILLDETAILS PB
 SET PB.REFTARIFF = (SELECT T.BASECOST
 FROM TEMPLATETARIFFDETAILS T
 WHERE T.TEMPLATETARIFFID = 17
 AND T.SERVICEID = PB.SERVICEID)
 WHERE PB.BILLNO = IN_BILLNO
 AND PB.SERVICETYPEID = IN_SERVICETYPEID;",Postgres_Statement,begin set search_path to billing ;update patientbilldetails pb set pb.reftariff =( select t.basecost from templatetariffdetails t where t.templatetariffid = 17 and t.serviceid = pb.serviceid )where pb.billno = in_billno and pb.servicetypeid = in_servicetypeid ;
Oracle_Statement,"UPDATE PATIENTBILLDETAILS PB
 SET PB.INDIVIDUALRATE = .9 * PB.REFTARIFF
 WHERE PB.BILLNO = IN_BILLNO
 AND PB.SERVICETYPEID = IN_SERVICETYPEID;",Postgres_Statement,update patientbilldetails pb set pb.individualrate =.9 * pb.reftariff where pb.billno = in_billno and pb.servicetypeid = in_servicetypeid ;
Oracle_Statement,"UPDATE PATIENTBILLDETAILS PB
 SET PB.REFTARIFF = (SELECT T.BASECOST
 FROM TEMPLATETARIFFDETAILS T
 WHERE T.TEMPLATETARIFFID = 2
 AND T.SERVICEID = PB.SERVICEID)
 WHERE PB.BILLNO = IN_BILLNO
 AND PB.SERVICETYPEID = IN_SERVICETYPEID
 AND PB.INDIVIDUALRATE IS NULL;",Postgres_Statement,update patientbilldetails pb set pb.reftariff =( select t.basecost from templatetariffdetails t where t.templatetariffid = 2 and t.serviceid = pb.serviceid )where pb.billno = in_billno and pb.servicetypeid = in_servicetypeid and pb.individualrate is null ;
Oracle_Statement,"UPDATE PATIENTBILLDETAILS PB
 SET PB.INDIVIDUALRATE = .8 * PB.REFTARIFF
 WHERE PB.BILLNO = IN_BILLNO
 AND PB.SERVICETYPEID = IN_SERVICETYPEID
 AND PB.INDIVIDUALRATE IS NULL;",Postgres_Statement,update patientbilldetails pb set pb.individualrate =.8 * pb.reftariff where pb.billno = in_billno and pb.servicetypeid = in_servicetypeid and pb.individualrate is null ;
Oracle_Statement,END BILL_APOLLO_TO_CGHS;,Postgres_Statement,end ;$body$ language plpgsql ;
Oracle_Statement,"CREATE OR REPLACE PROCEDURE ""BILLING"".""P_BILLCORRECTAPPROVEDBY"" (IV_FROM IN DATE,
 IV_TO IN DATE,
 OUT_CURSOR OUT SYS_REFCURSOR)
 IS",Postgres_Statement,"create or replace procedure p_billcorrectapprovedby( iv_from timestamp without time zone, iv_to timestamp without time zone, out_cursor inout refcursor )
as $body$"
Oracle_Statement,"BEGIN
 OPEN OUT_CURSOR FOR
 SELECT DISTINCT BAPWF.WIPBY AS EMPLOYEEID,
 UM.FIRSTNAME || ' ' || UM.MIDDLENAME || ' ' ||
 UM.LASTNAME AS EMPLOYEENAME
 FROM BILLING.AGEINGVALUEAPPROVALWFTRANS BAPWF
 INNER JOIN BILLING.AGEINGVALUEAPPROVALWORKFLOW AWF ON AWF.BILLINGAPPROVALWFID =
 BAPWF.BILLINGAPPROVALWFID
 INNER JOIN BILLING.USERMASTER UM ON UM.EMPLOYEEID = BAPWF.WIPBY
 WHERE (TRUNC(AWF.CREATEDDATE) BETWEEN IV_FROM AND IV_TO)
 AND AWF.FLOWNAME = 'Billing Correction';",Postgres_Statement,"begin set search_path to billing ;open out_cursor for select distinct bapwf.wipby as employeeid, um.firstname || ' ' || um.middlename || ' ' || um.lastname as employeename from billing.ageingvalueapprovalwftrans bapwf inner join billing.ageingvalueapprovalworkflow awf on awf.billingapprovalwfid = bapwf.billingapprovalwfid inner join billing.usermaster um on um.employeeid = bapwf.wipby where( date_trunc( 'day', awf.createddate )between iv_from and iv_to )and awf.flowname = 'Billing Correction' ;"
Oracle_Statement,END P_BILLCORRECTAPPROVEDBY;,Postgres_Statement,end ;$body$ language plpgsql ;
Oracle_Statement,"CREATE OR REPLACE PROCEDURE ""BILLING"".""P_BILLCORRECTINITIATIONBY"" (IV_CREATEDFROM IN DATE,
 IV_CREATEDTO IN DATE,
 OUT_CURSOR OUT SYS_REFCURSOR)
 IS",Postgres_Statement,"create or replace procedure p_billcorrectinitiationby( iv_createdfrom timestamp without time zone, iv_createdto timestamp without time zone, out_cursor inout refcursor )
as $body$"
Oracle_Statement,"BEGIN
 OPEN OUT_CURSOR FOR
 SELECT DISTINCT AWF.CREATEDBY AS EMPLOYEEID,
 UM.FIRSTNAME || ' ' || UM.MIDDLENAME || ' ' ||
 UM.LASTNAME AS EMPLOYEENAME
 FROM BILLING.AGEINGVALUEAPPROVALWORKFLOW AWF
 JOIN BILLING.USERMASTER UM ON UM.EMPLOYEEID = AWF.CREATEDBY
 WHERE (TRUNC(AWF.CREATEDDATE) BETWEEN IV_CREATEDFROM AND IV_CREATEDTO)
 AND AWF.FLOWNAME = 'Billing Correction';",Postgres_Statement,"begin set search_path to billing ;open out_cursor for select distinct awf.createdby as employeeid, um.firstname || ' ' || um.middlename || ' ' || um.lastname as employeename from billing.ageingvalueapprovalworkflow awf join billing.usermaster um on um.employeeid = awf.createdby where( date_trunc( 'day', awf.createddate )between iv_createdfrom and iv_createdto )and awf.flowname = 'Billing Correction' ;"
Oracle_Statement,END P_BILLCORRECTINITIATIONBY;,Postgres_Statement,end ;$body$ language plpgsql ;
